Database Accounts - Examination_System_DB

(Note: Passwords are stored as SHA-256 hashes.)

ID | Username          | Password_Hash                                                           | Role
---|-------------------|-------------------------------------------------------------------------|-----
1  | caitlyn10         | e9b77a9789d08f4e3fc33b7d3294f5e0d1c139bd56fec4be5b04f90703dbe95a         | 2
2  | dacosta           | bfb361f8ef308c3a712e9dab16ea957823907101adcd6fb072901a338cc9e81e         | 1
3  | nbutler           | b1ba34fef0be6f97129cfbc8a9be34deeb980baea269ee0de7ec77ced733c60c         | 3
4  | veronicacraig     | 5f55bf12829f363e58514f85b4c53ba8c871cfcffacd610f1b2beaabe86e9497         | 2
5  | beltrandavid      | cd1586edd1a1bea94f9b6958a49f4c1dfa76e4cf01768d8f1026adfca426d772         | 1
6  | jenniferporter    | 2a9d7da824c56d896520f7729743f4aa04885510ab9cc06f9cf9717927af0639         | 2
7  | john27            | 2982477103e8cdaac27ecd80629bab6624e7009bec47efa8caa6e02569e641d8         | 3
8  | taylor69          | 68a930f437bd1a3ce7b57ccb843420e86551ff82d00e1c9bc2da2d34157bb596         | 2
9  | jonathan51        | 5c363c0b06f2ab00d8899ea653e90781df2b675fd519cd9e826d18216087157c         | 1
10 | zdavis            | 9bb66d524881ceddef528a0e747dbdd63483e06b271e51b461627ac3061943a9         | 3
11 | fashley           | e393cede1f29083a312d110e7b3e7dd0d4d1ef37367ae694b323f1f640f56cb3         | 3
12 | pattersonbrittany | c0b3da3c2a263656f1e7b43677970324b8fe4132d074381c7c0071192222489e         | 3
13 | ymcneil           | a146a1029189628ffe5e2bbcee3890c2693e08266c969805af8b4c450d24570f         | 3
14 | collinsedward     | fca51be7734007ced08e0ed27b63b243cc5aec9e65864a239a3ff3d8dffe2fc6         | 1
15 | wwatson           | c22dbf51324e7fb1f273f0369b39a08862ff296482264a88432bd95853def9e8         | 3
16 | amyrojas          | 3b0a52040cf3bf95b2772ab77e70c7670675a0f3ad03cce0b6cea430f696cbb9         | 2
17 | johnsonbrian      | ec3fa286c14df701aad39072e7edb4a91c5d372e2c4705727075a5242117b961         | 3
18 | ojones            | a1ecec821706516eb402d29c32af246a340c4f5792b73e579c4a5744d0a82433         | 2
19 | amymyers          | 1b307e52ba4f3d1fa3b54892f6f3d9b88552842622ae93e49befc0bae3ff7e8e         | 3
20 | jameschavez       | 702a5f6bd4ed32a22082e4e2e40889ff2bd989dd21d202bb6dce5feb26244cdc         | 2
